event_ts,sample_index,time_ms,v1,v2,v3
2026-04-30T09:10:26.328Z,1010,631.25,75186.10214233398,41251.47673034668,-122436.40327835083
2026-04-30T09:10:26.328Z,1011,631.875,51138.143730163574,65308.66896820068,-122265.37756347656
2026-04-30T09:10:26.328Z,1012,632.5,30281.383590698242,81156.7719116211,-117191.61468887329
2026-04-30T09:10:26.328Z,1013,633.125,8170.938415527344,97460.93537139893,-112003.83467102051
2026-04-30T09:10:26.328Z,1014,633.75,-14053.478126525879,108805.4407157898,-99005.88034057617
2026-04-30T09:10:26.328Z,1015,634.375,-36790.76581954956,116729.4921875,-85494.84886550903
2026-04-30T09:10:26.328Z,1016,635.0,-59414.08214569092,120606.00657653809,-65199.79736709595
2026-04-30T09:10:26.328Z,1017,635.625,-79074.14293289185,114848.24255752563,-40572.094425201416
2026-04-30T09:10:26.328Z,1018,636.25,-93833.43494415283,110401.65252304077,-21303.197216033936
2026-04-30T09:10:26.328Z,1019,636.875,-107623.97033691406,100539.34385681152,2697.4114379882812
2026-04-30T09:10:26.328Z,1020,637.5,-116513.73695373535,86458.47541427612,24417.677227020264
2026-04-30T09:10:26.328Z,1021,638.125,-122383.26234817505,70211.31951904297,47449.14016342163
2026-04-30T09:10:26.328Z,1022,638.75,-119932.87796020508,44671.930603027344,69796.50024032593
2026-04-30T09:10:26.328Z,1023,639.375,-114519.23803329468,25289.358657836914,84276.67743301392
2026-04-30T09:10:26.328Z,1024,640.0,-107225.07055282593,1631.2193717956543,101265.23177719116
2026-04-30T09:10:26.328Z,1025,640.625,-93548.50652694702,-21399.83670425415,109702.50037765503
2026-04-30T09:10:26.328Z,1026,641.25,-79245.09998321533,-43461.76418304443,118937.88898086548
2026-04-30T09:10:26.328Z,1027,641.875,-54456.327686309814,-67575.96398544312,117284.64040374756
2026-04-30T09:10:26.328Z,1028,642.5,-34511.338481903076,-83367.05936431885,113008.99753189087
2026-04-30T09:10:26.328Z,1029,643.125,-11945.00783920288,-99272.16987228394,107422.1575126648
